,Rank,Name,Type,Episodes,Studio,Release_season,Tags,Rating,Release_year,Description,Related_anime,Voice_actors
10083,10084,Moomin (1972),TV   ,52.0,Mushi Production,,"Adventure, Comedy, Fantasy, Slice of Life, Animal Protagonists, Non-Human Protagonists, World Masterpiece Theater, Based on a Novel",3.22,1972.0,'No synopsis yet - check back soon!',"Moomin to Koutsuu Anzen, Moomin, Delightful Moomin Family, Tanoshii Moomin Ikka: Bouken Nikki, Comet in Moominland","Little My, Moomin, Moominmamma, Moominpappa, Sniff : Kousei Tomita, Snork Maiden, Snufkin, Bob, Rintarou
Director, Seichiro Uno
Music, Hiroyuki Hoshiyama
Screenplay"
10105,10106,Hidamari Sketch: Chou Hidamatsuri Special,Other,,SHAFT,,"Comedy, Seinen, Slice of Life, Art, Art School, Breaking the Fourth Wall, Promotional, Shorts, Based on a 4-Koma Manga, Based on a Manga",3.22,2007.0,"'Hiro, Miyako, Sae and Yuno are back, and ready to pump up the crowd in preparation for the next season, Hidamari Sketch x 365!'","Hidamari Sketch, Hidamari Sketch Specials, Hidamari Sketch x 365, Hidamari Sketch x 365 EX, Hidamari Sketch x 365 Specials, Hidamari Sketch x Hoshimittsu, Hidamari Sketch x Hoshimittsu Specials, Hidamari Sketch x SP, Hidamari Sketch x Honeycomb, Hidamari Sketch: Sae & Hiro's Graduation Arc","Hiro : Yuuko Gotou, Miyako : Kaori Mizuhashi, Sae : Ryouko Shintani, Yuno : Kana Asumi, Ume : Ume Aoki, Tatsuya Oishi
Director & Series Composition, Yoshiaki Itou
Animation Director & Character Design & Key Animator, Shinichirou Etou
Photography Director, Izumi Takizawa
Color Design, Misako Izumi
Key Animator, Zen Nagata
Key Animator, Mio Ayabe
Key Animator, Shuku Takahashi
Key Animator"
10121,10122,Mooretsu Atarou,TV   ,90.0,Toei Animation,,"Comedy, Shounen, Slice of Life, Family Friendly, Ghosts, Supernatural, Based on a Manga",3.22,1969.0,"'Batsugoro was the owner of a grocery store, Yaobatsu. When he tried to take a balloon hanged caught on the branch for a little child, he fell on to the ground to die. His son, Ataro, succeeded to the store, but Batsugoro was worried about him, and he remained there being a ghost. Ataro managed the shop alone, but soon his follower, Dekoppachi, began to help him. Being surrounded by strange characters such as, Nyarome, Butamatsu, the heart-warming story develops.'","Mooretsu Atarou (1990), Mooretsu 50-nen Tarou","Atarou : Keiko Yamamoto, Batsugorou : Ichiro Nagai, Chibita, Deko-Chan : Masako Nozawa, Dekoppachi : Midori Kato, Iyami, Kamisama : Takuzou Kamiyama, Kemunpas : Keiichi Noda, Fujio Akatsuka
Original Creator, Isao Takahata
Director, Taku Izumi
Music"
10201,10202,Catman Series II,Web  ,8.0,FCC,,"Slice of Life, Abstract, Animal Protagonists, Anthropomorphic, Cats, Music, Non-Human Protagonists, Flash Animation",3.21,2002.0,"'Catman is still revelling in his solitary lifestyle, and wanders the streets passing the time however he sees fit. From becoming inspired by his kung-fu movie hero, to starting up a feud with a local apple salesman, the apathetic and foul-mouthed feline takes each day as it comes, even if it means getting beaten up or losing a possible lover…'","Catman, Catman Specials, Catman Series III",Catman
10204,10205,Omishi Magical Theater: Risky Safety,TV   ,24.0,A.P.P.P.,Fall ,"Comedy, Romance, Slice of Life, Non-Human Protagonists, Shinigami, Short Episodes",3.21,1999.0,"""Moe Katsuragi is depressed. She caught the boy she loves in the arms of two others, and she's heartbroken enough that one rainy evening, she wishes she could die. Answering her call is Risky, a pint-sized shinigami who wants to take Moe's soul to the underworld! However, Risky shares his body with Safety, an apprentice angel who wants to help Moe see the errors of her ways and reconcile with the boy she pines for. Torn between hope and sadness, Moe will try her best to win the heart of the one she loves amidst the chaos of her two new companions, Risky and Safety!""",,"Moe Katsuragi : Maaya Sakamoto, Risky, Safety, Bezetto Serges, Fazzy Serges, Kotone Ryuudou, Lani, Moe'S Father, Kouji Masunari
Director, Tamiya Terashima
Music, Takuya Saitou
Character Design, Kenji Kume
Producer"
10208,10209,Isekai Cheat Magician: Yoiboshi no Matsuri to Majutsushi,TV Sp,,Encourage Films,,"Comedy, Fantasy, Shounen, Slice of Life, Childhood Friends, Guilds, Isekai, Magic, Overpowered Main Characters, Person in a Strange World, Summoned Into Another World, Based on a Light Novel",3.21,2021.0,'No synopsis yet - check back soon!',Isekai Cheat Magician,"Lemiya : Sayaka Oohara, Myura : Minami Tanaka, Rin Azuma : Rie Takahashi, Taichi Nishimura : Kouhei Amasaki, Aerial : Yurika Kubo, Gerard : Uoken, Marie : Yuna Kamakura, Adelina"
10260,10261,Sora no Manimani Specials,DVD S,,Studio Comet,,"Comedy, Seinen, Slice of Life, Based on a Manga",3.21,2009.0,'No synopsis yet - check back soon!',Sora no Manimani,"Hime Makita : Haruka Tomatsu, Mihoshi Akeno : Kanae Itou, Oumi Ayumi : Miyuki Sawashiro, Saku Oyagi : Tomoaki Maeno, Takeyasu Roma : Junji Majima, Sayo Yarai : Saori Hayami, Fumie Kotozuka : Ami Koshimizu, Masashi Edogawa, Mami Kashiwabara
Original Creator, Coorie
Music, Kaoru Okubo
Music, Hajime Watanabe
Character Design"
10277,10278,Sketchbook ~full color's~ Picture Drama,DVD S,,Hal Film Maker,,"Comedy, Shounen, Slice of Life, Art, Picture Drama, Based on a Manga",3.21,2008.0,'No synopsis yet - check back soon!',Sketchbook ~full color's~,"Hazuki Torikai, Kokage Kuga, Nagisa Kurihara, Natsumi Asou, Sora Kajiwara, Totan Kobako
Original Creator"
10283,10284,22/7: Ano Hi no Kanojo-tachi,Web  ,8.0,CloverWorks,,"Slice of Life, Idols, Short Episodes",3.21,2018.0,'No synopsis yet - check back soon!',"22/7: Boku wa Sonzai Shiteinakatta, 22/7: Shampoo no Nioi ga Shita, 22/7: Rikai-sha, 22/7: Nani mo Shite Agerarenai, 22/7, 22/7: Kaze wa Fuiteru ka?","Akane Maruyama : Kanae Shirosawa, Ayaka Tachikawa : Reina Miyase, Jun Toda : Ruri Umino, Miu Takigawa : Nagomi Saijou, Miyako Kono : Mizuha Kuraoka, Nicole Saito : Mei Hanakawa, Akiko Fujita
Sound Director, Shin Wakabayashi
Episode Director & Storyboard, Yuuta Yamazaki
Episode Director & Storyboard"
10289,10290,Morita-san wa Mukuchi TV,TV   ,13.0,Seven,Summer,"Comedy, Seinen, Slice of Life, Iyashikei, School Life, Short Episodes, Based on a 4-Koma Manga, Based on a Manga",3.21,2011.0,"""Mayu learned everything she knows about manners from her mother – most importantly, that in any conversation, she should make eye contact at all times and let the other person finish their thoughts completely before responding. Unfortunately for Mayu, this advice is difficult to follow when your friends are a bunch of talkative high school girls, and has left everyone thinking she's overly quiet and shy instead! With good friends such as chatty Miki and shy Hana beside her, Mayu will silently navigate her high school life and have plenty of fun in the process!""","Morita-san wa Mukuchi, Morita-san wa Mukuchi. 2, Morita-san wa Mukuchi TV Specials","Mayu Morita : Kana Hanazawa, Miki Murakoshi : Haruka Tomatsu, Chihiro Miura : Saori Hayami, Hana Matsuzaka : Yoshino Nanjou, Ritsuki Yamamoto : Mie Hiraga, Brown-Haired Teacher, Brown-Haired University Student, Brown-Haired Waitress, Tae Sano
Original Creator, Naotaka Hayashi
Director, Toshinari Yamashita
Character Design"
10365,10366,God Eater Rezo Nantoka Gekijou: Episode EX,Other,,Creators in Pack,,"Comedy, Slice of Life, Chibi, Parody, Person in a Strange World, Short Episodes, Based on a Mobile Game",3.2,2018.0,'No synopsis yet - check back soon!',"God Eater Rezo Nantoka Gekijou Episode 0, God Eater Rezo Nantoka Gekijou","Alisa Illinichina Amiella, Erina Der Vogelweid, Leo Kamiki, Asuna Komatsuna, Canon Daiba, Ciel Alencon, Philine Storieday Wallare, Rio Kamiki, Parako Shinohara
Director"
10369,10370,Upotte!! OVA,OVA  ,1.0,XEBEC,,"Ecchi, Shounen, Slice of Life, Anthropomorphic, The Great Outdoors, Based on a Manga",3.2,2012.0,"'The cast heads off to camp in the mountains during summer break. Along with fishing, cooking, and splitting watermelons, they discover a hot spring.'",Upotte!!,"Eru, Funko, Ichiroku, Shigu, Agu, Emupii, Faru, Fujiko-Sensei : Yuu Asakawa, Kitsune Tennouji
Original Creator"
10380,10381,Tokyo Pig,TV   ,61.0,Group TAC,Summer,"Comedy, Slice of Life, Chibi, Episodic, Family Friendly, Pigs",3.2,1997.0,"""Spencer is a typical third grade student with a not so typical ability: when he writes entries in his diary, they come true! In addition to causing his family to eat fried pencil balls for dinner, Spencer makes the ultimate mistake when he writes about a horde of flying pigs. And though he’s able to erase all of them from existence, one of them slips through the cracks and remains a reality! This pig – which Spencer dubs Sunny Pig – becomes Spencer’s companion in his everyday adventures. From trying to stop Spencer's father to cooking dinner to solving the disappearance of a local weather reporter, there’s plenty of fun times to be had in the life of this wacky family!""","Fair, then Partly Piggy, Tokyo Pig no Koutsuu Anzen, Tokyo Pig no Jishin Youjin Nikki","Spencer Weinberg-Takahama : Joshua Seth, Sunny Pig : Mika Kanai, Yadama, Spencer'S Father : Kiyoyuki Yanada, Spencer'S Mother : Naoko Matsui, Dizzy Lizzy, Eggman, Masako Sodefuri, Shinichi Watanabe
Director & Episode Director & Storyboard, Toshio Masuda
Music, Rie Nishino
Character Design, Yutaka Sugiyama
Producer, Keisuke Iwata
Producer, Yoshimi Asari
Producer, Shintarou Inokawa
Episode Director, Masahiko Murata
Animation Director"
10385,10386,Hoka Hoka Kazoku,TV   ,142.0,Eiken,,"Comedy, Slice of Life, Short Episodes",3.2,1976.0,'No synopsis yet - check back soon!',,"Toshitaka Tsunoda
Director, Katsutoshi Kobayashi
Character Design"
10444,10445,Shounen Ashibe: Go! Go! Goma-chan (2018),TV   ,32.0,Bridge,Spring,"Comedy, Slice of Life, Animal Protagonists, Family Friendly, Non-Human Protagonists, Pets, Short Episodes, Based on a Manga",3.2,2018.0,'No synopsis yet - check back soon!',"Shounen Ashibe: Go! Go! Goma-chan, Shounen Ashibe: Go! Go! Goma-chan (2017), Shounen Ashibe: Go! Go! Goma-chan (2019)","Ashibe Ashiya, Goma-Chan, Ashibe'S Father, Ashibe'S Mother, Mao, Sakata, Sakata'S Brother, Sugao"
10448,10449,Sazae-san,TV   ,263.0,Eiken,,"Comedy, Slice of Life, Family Life, Based on a Manga",3.2,1969.0,"""Sazae Fuguta, married to Masuo and mother of Tarao, lives with her parents, Namihei and Fune Isono, in addition to her brother Katsuo, her sister Wakame, and Tama, the family's cat. The series depicts their daily life in the suburbs of Japan.""","Sazae-san: Dawn to Ikka de Hawaii Ryokou, Hungry Days: Aoharu ka yo.","Fune Isono : Miyoko Asou, Katsuo Isono : Nobuyo Oyama, Namihei Isono : Ichiro Nagai, Sazae Fuguta : Midori Kato, Tarao Fuguta : Takako Sasuga, Wakame Isono : Yoshiko Yamamoto, Anago : Norio Wakamoto, Hiroshi Nakajima : Rumi Ochiai, Machiko Hasegawa
Original Creator, Hiroshi Yamagishi
Director, Kunihiro Kawano
Music"
10466,10467,The [email protected]: Cinderella Girls Theater,TV   ,13.0,Gathering,Spring,"Slice of Life, Chibi, Idols, Music, Short Episodes",3.2,2017.0,"'Our IDOL friends are back again today! Get a rare look at how IDOLS spend their days off, as well as their comical interactions with each other in this hyper-fun-filled short anime.'","The [email protected]: Cinderella Girls: Special Program, The [email protected]: Cinderella Girls, The [email protected]: Cinderella Girls Second Series, The [email protected]: Cinderella Girls Special: Anytime, Anywhere with Cinderella, The [email protected]: Cinderella Girls Theater Specials, The [email protected]: Cinderella Girls Theater (Web), The [email protected]: Cinderella Girls Theater 2nd Season, The [email protected]: Cinderella Girls Theater 2nd Season (Web), The [email protected]: Cinderella Girls Theater 2nd Season Specials, The [email protected]: Cinderella Girls Theater 3rd Season, The [email protected]: Cinderella Girls Theater 3rd Season (Web), The [email protected]: Cinderella Girls Theater 3rd Season Specials, The [email protected]: Cinderella Girls Theater Climax Season, The [email protected]: Cinderella Girls Theater Extra Stage","Anastasia : Sumire Uesaka, Anzu Futaba : Hiromi Igarashi, Mika Jougasaki : Haruka Yoshimura, Miku Maekawa : Natsumi Takamori, Mio Honda : Sayuri Hara, Ranko Kanzaki : Maaya Uchida, Rin Shibuya : Ayaka Fukuhara, Uzuki Shimamura : Ayaka Oohashi, Mankyuu
Director, Akiko Fujita
Sound Director"
10471,10472,Inugami-san to Nekoyama-san Special,DVD S,,Seven,,"Comedy, GL, Shoujo-ai, Slice of Life, Based on a 4-Koma Manga, Based on a Manga",3.2,2014.0,'No synopsis yet - check back soon!',Inugami-san to Nekoyama-san,"Aki Hiiragi : Yuka Ootsubo, Suzu Nekoyama : Nao Touyama, Yachiyo Inugami : Sumire Uesaka, Kaede Hiiragi, Kiri Hiiragi, Kuzushiro
Original Creator"
10501,10502,The [email protected]: Cinderella Girls Theater,TV   ,13.0,Gathering,Spring,"Slice of Life, Chibi, Idols, Music, Short Episodes",3.2,2017.0,"Our IDOL friends are back again today! Get a rare look at how IDOLS spend their days off, as well as their comical interactions with each other in this hyper-fun-filled short anime.","The [email protected]: Cinderella Girls: Special Program, The [email protected]: Cinderella Girls, The [email protected]: Cinderella Girls Second Series, The [email protected]: Cinderella Girls Special: Anytime, Anywhere with Cinderella, The [email protected]: Cinderella Girls Theater Specials, The [email protected]: Cinderella Girls Theater (Web), The [email protected]: Cinderella Girls Theater 2nd Season, The [email protected]: Cinderella Girls Theater 2nd Season (Web), The [email protected]: Cinderella Girls Theater 2nd Season Specials, The [email protected]: Cinderella Girls Theater 3rd Season, The [email protected]: Cinderella Girls Theater 3rd Season (Web), The [email protected]: Cinderella Girls Theater 3rd Season Specials, The [email protected]: Cinderella Girls Theater Climax Season, The [email protected]: Cinderella Girls Theater Extra Stage","Anastasia : Sumire Uesaka, Anzu Futaba : Hiromi Igarashi, Mika Jougasaki : Haruka Yoshimura, Miku Maekawa : Natsumi Takamori, Mio Honda : Sayuri Hara, Ranko Kanzaki : Maaya Uchida, Rin Shibuya : Ayaka Fukuhara, Uzuki Shimamura : Ayaka Oohashi, Mankyuu
Director, Akiko Fujita
Sound Director"
10506,10507,Inugami-san to Nekoyama-san Special,DVD S,,Seven,,"Comedy, GL, Shoujo-ai, Slice of Life, Based on a 4-Koma Manga, Based on a Manga",3.2,2014.0,No synopsis yet - check back soon!,Inugami-san to Nekoyama-san,"Aki Hiiragi : Yuka Ootsubo, Suzu Nekoyama : Nao Touyama, Yachiyo Inugami : Sumire Uesaka, Kaede Hiiragi, Kiri Hiiragi, Kuzushiro
Original Creator"
10555,10556,Wind -A Breath of Heart- Omake OVA,OVA  ,1.0,Ajia-do,,"Drama, Romance, Slice of Life, Christmas, Supernatural, Based on a Visual Novel",3.19,2002.0,"It's December 24th, and everyone is in the mood for Christmas festivities. Luckily Minamo, Hinata, Nozomi and the rest of the gang thought ahead and planned a...cosplay party?! The night is young and fantasies run rampant, as the friends make their way to the gathering; but though they'd like nothing more than to arrive quickly and safely, various obstacles stand in their way: a flying ship, express trains and a mysterious familiar young girl! Can the friends manage to get to the party on time?","Wind: A Breath of Heart OVA, Wind: A Breath of Heart, Wind: A Breath of Heart Specials","Ryuuichirou Matsuyama
Producer"
10596,10597,Tawawa on Monday Specials,DVD S,,Pine Jam,,"Ecchi, Slice of Life, Salaryman, Based on a Manga",3.19,2016.0,The two episodes will focus on the subordinate and Ai characters.,Tawawa on Monday,"Ai : Sayaka Harada, Kouhai : Ai Kayano, Man : Junji Majima, Senpai : Yasuaki Takumi, Kiseki Himura
Original Creator"
10635,10636,Anime KAPIBARASAN,TV   ,24.0,Lesprit,Fall ,"Comedy, Slice of Life, Animal Protagonists, Family Friendly, Iyashikei, Non-Human Protagonists, Short Episodes",3.19,2020.0,"Capybara lives on the Midorino Plains. He troddles along, munching as he walks.",,"Kapibarasan, Atsuisan, Beigesan, Kokapi, Kokapiani, Llamasan, Namakemonokun, Whitesan, Tomohiro Tsukimisato
Director & Sound Director, Akiyuki Tateyama
Music"
10655,10656,Aiura,TV   ,12.0,LIDEN FILMS,Spring,"Comedy, Shounen, Slice of Life, Iyashikei, School Life, Short Episodes, Based on a Manga",3.19,2013.0,"Kanaka, Saki and Ayuko are three girls who, as fate would have it, meet each other just before starting high school. Kanaka accidentally bumps into Ayuko, ruining the girl's ice cream cone, and their friendship soon follows! Together, the trio navigates high school life, whether giving each other nicknames, racing each other to class, or just having fun.",,"Ayuko Uehara : Nao Tamura, Kanaka Amaya : Yui Nakajima, Saki Iwasawa : Yuuko Iida, Souta Amaya : Yumiri Hanamori, Sumiko Yamashita : Yumi Uchiyama, Mei Yanase : Ayane Sakura, Misuzu Wakatsuki : Yukari Tamura, Shusaku Matsuno : Tomokazu Sugita, Uji Chama
Original Creator, Ryousuke Nakamura
Director & Episode Director & Key Animator & Screenplay & Storyboard, Shuusei Murai
Music, Mieko Hosoi
Character Design, Shinji Horikiri
Producer, Ryou Sasaki
Producer"
10668,10669,Kyou no Asuka Show,Web  ,20.0,SILVER LINK.,Summer,"Comedy, Ecchi, Seinen, Slice of Life, Panty Shots, Short Episodes, Based on a Manga",3.18,2012.0,"Attractive and airheaded Asuka Kyōno is a middle-school student who lives with her father, whose undisclosed job involves seeing women in various states of undress. She is frequently unaware of the sexual suggestiveness her actions unintentionally have.",,"Asuka Kyouno : Arisa Noto, Asuka'S Father : Keiji Fujiwara, Kobayashi, Mao Sawada, Mika, Old Woman, Popsicle Seller, Takkun, Taishi Mori
Original Creator, Masato Jinbou
Director, Tomoki Kikuya
Music, Masashi Kudou
Character Design"
10700,10701,Cute Executive Officer,Web  ,13.0,Project No.9,Winter,"Comedy, Slice of Life, Short Episodes, Work Life, Based on a Manga",3.18,2021.0,"Najimu Mujina is the president of Mujina Company who is neither an adult nor a genius, but an aggressively average five-year-old girl. All the familiar trappings of adulthood like match-making parties, contracts, and socializing while golfing are new experiences to her. The story follows Najimu as she navigates modern life with her capable but too indulgent secretary, her office worker of unknown nationality, and her employee who plays the comedy straight man role to her antics.",,"Mayu Warito : Hisako Kanemoto, Najimu Mujina : Rina Hidaka, Yuki Karuizawa : Sumire Uesaka, Dekasegi Garcia : Sayaka Kaneko, Riya Motohashi : Chinami Hashimoto, Baker : Houchuu Ootsuka, Black-Haired Man, Businessman, Odeko Fujii
Original Creator, Kazuya Iwata
Director, H Zett M
Music, Susumu Watanabe
Character Design"
10705,10706,Miyakawa-ke no Kuufuku,Web  ,,Encourage Films,Spring,"Comedy, Shounen, Slice of Life, Chibi, Food and Beverage, School Life, Short Episodes, Siblings, Based on a 4-Koma Manga, Based on a Manga",3.18,2013.0,"The daily hardships of Hikage Miyakawa, a young girl who lives with her sister Hinata. Due to Hinata's otaku impulsiveness to constantly buy merchandise, the two girls struggle everyday to have something decent to eat.","Lucky Star, Lucky Star OVA","Hikage Miyakawa : Makoto Kawasaki, Hinata Miyakawa : Maina Shimagata, Daisuke Mizushima : Karin Oda, Erika Koike : Kanae Iwasaki, Kazuhiko Osawa : Yoshitsugu Matsuoka, Yukina Utsumi : Madoka Sowa, Akira Kogami : Hiromi Konno, Animate Clerk A, Yutaka Yamamoto
Director, Touko Machida
Screenplay & Series Composition, Kenichi Maeyamada
Music, Mamoru Ikeya
Character Design"
10723,10724,TAMA of the 3rd District: Have You Seen My TAMA?,TV   ,26.0,Group TAC,,"Slice of Life, Animal Protagonists, Cats, Dogs, Family Friendly, Non-Human Protagonists, Pets",3.18,1994.0,"This story follows the daily lives of a cat named Tama and his cat and dog friends. As their curiosity gets the best of them, they learn enduring values of friendship and teamwork.","Tama & Friends: 3-choume Monogatari, TAMA of the 3rd District: Have You Seen My TAMA? (1993), 3-choume no Tama: Onegai! Momo-chan wo Sagashite!!, Tama & Friends: Uchi no Tama Shirimasen ka?, Uchitama?! Have you seen my Tama?","Pochi Yamada : Masako Watanabe, Tama Okamoto : Hiroko Kasahara, Beh Kawahara, Bull Kuramochi : Taro Arakawa, Gon Noda : Junji Kitajima, Koma Oketani : Kae Araki, Kuro Mikawa : Tetsuya Iwanaga, Momo Hanasaki : Hekiru Shiina, Tsuneo Maeda
Director, Norihiro Tsuru
Music, Masahiko Murata
Character Design"
10735,10736,Sister Princess,TV   ,26.0,Zexcs,Spring,"Comedy, Drama, Harem, Slice of Life, Island, Lifestyle Change, Based on a Light Novel",3.18,2001.0,"Wakura is so confident of getting into his chosen high school that he stops taking his tests. Unfortunately, he gets every question on his entrance exam wrong, leaving him to be thrown into a truck, put on a boat and then taken to Promised Island. There, he finds out that he was entered, by recommendation into a high school, not to mention he has twelve adopted sisters on the island that will be attending with him! More than anything Wakura wants to get off the island and get back to his old life, but eventually his sisters help him feel welcome. Together, Wakaru begins his journey of living and growing up with his twelve cute sisters.",Sister Princess Re Pure,"Karen : Natsuko Kuwatani, Wataru Minakami : Kenji Nojima, Aria : Nana Mizuki, Chikage : Ayako Kawasumi, Haruka : Yumi Kakazu, Hinako : Chiemi Chiba, Kaho : Hisayo Mochizuki, Mamoru : Yumiko Kobayashi, Matsuo Asami
Chief Director, Kiyotaka Oohata
Director, Ikuji Inada
Director, Masaharu Amiya
Screenplay & Series Composition, Yasunari Nitta
Character Design, Atsushi Moriyama
Producer, Tomoko Kawasaki
Producer, Kazuya Watanabe
Producer"
10740,10741,Patta Potta Monta,TV   ,26.0,Tokyo Kids,Summer,"Comedy, Fantasy, Slice of Life, Animal Protagonists, Anthropomorphic, Family Friendly, Non-Human Protagonists",3.18,2006.0,No synopsis yet - check back soon!,,"Mondo : Kazuya Ichijo, Monjiro : Rikako Yamaguchi, Monta : Yukiko Iwai, Tigerson : Masato Amada, Chuuzou : Akane Yamaguchi, Flora : Shizuka Itou, Momoko : Saori Seto, Momone : Aya Yonekura, Yuusaku Saotome
Director, Futoshi Higashide
Character Design"
10746,10747,TsukiPro the Animation,TV   ,13.0,PRA,Fall ,"Slice of Life, Idols, Music, Showbiz",3.18,2017.0,"SOARA, Growth, SolidS, and QUELL are four groups belonging to Tsukino Entertainment Production (AKA TSUKIPRO). The slice of life music anime ""PRO ANI"" depicting their music overflowing with uniqueness and the drama surrounding their lives begins now! Will you open this glittering treasure box of music?",Tsukipro the Animation 2,"Dai Murase : Yuuichirou Umehara, Eichi Horimiya : Koutarou Nishiyama, Ichiru Kuga : Shou Nogami, Issei Kuga : Shuugo Nakamura, Kouki Etou : Shunichi Toki, Morihito Arihara : Yuuki Ono, Nozomu Nanase : Chiharu Sawashiro, Ren Munakata : Taishi Murata, Keitarou Motonaga
Chief Director, Juria Matsumura
Director, Mariko Oka
Character Design, Yoshio Usuda
Animation Director"
10751,10752,Mainichi ga Nichiyoubi,OVA  ,6.0,Group TAC,,"Comedy, Drama, Seinen, Slice of Life, Police, Based on a Manga",3.18,1990.0,"Criminals beware! The young Yuumi Takeshita is the newest member of Tawagoto precinct's police force, and she's ready to arrest all of the baddies in town. Alongside her once-savior Toru Ichidaiji - magician extraordinaire - and childhood-friend-turned-idol Sarasa Maijima, Yuumi will perform her civic duty while getting involved in hanami festivals, sumo contests, and magician events galore!",,"Toru Ichidaiji : Yasunori Matsumoto, Yuumi Takeshita : Miki Itou, Chief Ninomiya : Masaru Ikeda, Shiho Ninomiya : Akiko Hiramatsu, Yuuzou Takada
Original Creator, Hidehito Ueda
Director, Yuusaku Saotome
Director, Hiroya Watanabe
Music, Kazuchika Kise
Character Design, Hitoshi Nagao
Art Director, Nagateru Katou
Producer, Mitsuhisa Ishikawa
Producer"
10755,10756,A Centaur's Life,TV   ,12.0,Haoliners Animation League,Summer,"Comedy, Ecchi, Fantasy, Seinen, Slice of Life, Animal Characteristics, Centaurs, Contemporary Fantasy, Monster Girls, Monsters, Monster School, Non-Human Protagonists, School Life, Urban Fantasy, Based on a Manga, Nudity",3.18,2017.0,"Being a teenager is never easy... especially for a centaur! Himeno is a sweet, shy girl, who like many teens her age, struggles with the trials and tribulations of attending high school. The difference is she's a centaur; but she's not alone. In fact, all of her classmates are supernatural creatures, sporting either horns, wings, tails, halos, or some other unearthly body appendage. Yet despite their fantastical natures, Himeno and her best friends-the dragon-winged Nozomi, and Kyoko with her spiraled horns-are down-to-earth, fun-loving teenagers who grapple with issues of life and love in a mostly normal daily school setting.",,"Himeno Kimihara : Seria Fukagawa, Kyoko Naraku : Haruka Shiraishi, Manami Mitama : Yuna Kamakura, Nozomi Gokuraku : Yuuki Kuwahara, Chigusa Mitama : Atsumi Tanezaki, Chiho Mitama : Atsumi Tanezaki, Chinami Mitama : Atsumi Tanezaki, Michi Inukai : Honoka Kuroki, Kei Murayama
Original Creator, Naoyuki Konno
Director, Fumitoshi Oizaki
Director, Touko Machida
Series Composition, Tak Miyazawa
Music, Sakae Shibuya
Character Design, Kouji Akio
Producer, Yukiyo Komito
Chief Animation Director"
10763,10764,Alps Stories: My Annette,TV   ,48.0,Nippon Animation,,"Drama, Slice of Life, Countryside, Europe, Historical, Switzerland, World Masterpiece Theater, Based on a Novel",3.18,1983.0,"Annette lives a carefree life in a small village amidst the Swiss Alps. With her best friend Lucien and other school children by her side, Annette couldn’t be happier – that is, until her mother dies one cold winter day while giving birth to little Denis. Now, years have passed and things are finally getting back to normal, but Annette’s hardships aren’t quite over yet; her friendship with Lucien will be put to a difficult test when he becomes partially responsible for a terrible accident involving Denis...",Alps Stories: My Annette Specials,"Annette Burnier : Keiko Han, Daniel Burnier : Sanae Miyuki, Lucien Morel : Eiko Yamada, Pierre Burnier : Osamu Kobayashi, Christine : Harumi Iizuka, Danny : Sanae Miyuki, Francine Burnier : Eiko Masuyama, Jean : Kazuyo Aoki, Kouzou Kusuba
Director, Ryouhei Hirose
Music, Jirou Saitou
Storyboard"
10770,10771,A Sister's All You Need (Web),Web  ,6.0,SILVER LINK.,,"Comedy, Slice of Life, Chibi, Short Episodes, Based on a Light Novel",3.18,2017.0,No synopsis yet - check back soon!,"A Sister's All You Need, A Sister's All You Need Specials","Chihiro Hashima : Nozomi Yamamoto, Haruto Fuwa : Satoshi Hino, Itsuki Hashima : Yusuke Kobayashi, Miyako Shirakawa : Ai Kakuma, Nayuta Kani : Hisako Kanemoto"
10780,10781,DD Fist of the North Star,TV   ,13.0,Ajia-do,Spring,"Comedy, Seinen, Slice of Life, Chibi, Based on a Manga",3.18,2013.0,"Highly trained in the secret martial art of Hokuto Shinken, Kenshiro has achieved such a high level of combat expertise that he can kill a man with his pinky. Though these skills may be useful for a wandering man trying to survive the deadly wastelands left behind by nuclear war, they're all but useless in modern day Japan! With an apocalypse that never happened and a less-than-desirable skill set, would-be hero Ken is stuck looking for a job just like every other unemployed schmuck in Japan.","Fist of the North Star, Fist of the North Star: The Movie, Fist of the North Star 2, New Fist of the North Star, Hokuto no Ken: Legend of Heroes, Fist of the North Star: Legend of Raoh - Death for Love, Fist of the Blue Sky, Fist of the Blue Sky Specials, Fist of the North Star: Legend of Yuria, Fist of the North Star: Legend of Raoh - Fierce Fight, Fist of the North Star: Legend of Toki, Legends of the Dark King: A Fist of the North Star Story, Fist of the North Star: Legend of Kenshiro, DD Hokuto no Ken, Fist of the North Star: Strawberry Flavor, DD Fist of the North Star II","Kenshiro : Shinnosuke Tachibana, Raoh : Kazuya Ichijo, Aili : Satomi Satou, Amiba : Tomokazu Seki, Bat : Shuuta Morishima, Colonel : Tsuyoshi Koyama, Diamond : Kazuya Ichijo, Fudou : Tsuyoshi Koyama, Akitarou Daichi
Director, Kazuhiro Ishikawa
Music"
